orderId,dishes,notes,timbSubmitted,timeCompleted,timePaid,serverId,tableNumber,amtPaid
dddeb930-ade4-11e8-aab6-cb661c6ee576,"1,2,14",Extra spicy,2018-10-05 10:15:20,2018-10-05 10:31:20,2018-10-05 11:15:20,e661a320-ade3-11e8-8a40-c70d72c3af33,2,30.00
e43be780-ade4-11e8-aab6-cb661c6ee576,"12,18",less salty,2018-10-05 10:30:20,2018-10-05 10:41:44,2018-10-05 11:30:20,e661a320-ade3-11e8-8a40-c70d72c3af33,1,20.00
e9e221e0-ade4-11e8-aab6-cb661c6ee576,29,"ice, no ice",2018-10-05 10:45:20,2018-10-05 11:03:20,2018-10-05 12:01:31,e661a320-ade3-11e8-8a40-c70d72c3af33,3,0.00
f0d882f0-ade4-11e8-aab6-cb661c6ee576,"54,9",no sesame,2018-10-05 11:00:31,2018-10-05 11:13:31,2018-10-06 10:47:31,e661a320-ade3-11e8-8a40-c70d72c3af33,5,20.00
f6bd25e0-ade4-11e8-aab6-cb661c6ee576,"5,10,19,10,5","no chili, gluten free diary, jason free",2018-10-12 11:15:20,2018-10-12 11:21:50,,294a8b20-ade4-11e8-8a40-c70d72c3af33,3,
fc26a560-ade4-11e8-aab6-cb661c6ee576,"72,5,1",Super spicy,2018-10-12 11:30:20,2018-10-12 11:30:20,2018-10-12 13:30:20,e661a320-ade3-11e8-8a40-c70d72c3af33,1,50.00
0687a8b0-ade5-11e8-aab6-cb661c6ee576,3,no salt,2018-10-12 11:45:20,2018-10-12 12:32:10,2018-10-12 13:21:20,294a8b20-ade4-11e8-8a40-c70d72c3af33,9,200.00
0b0a71b0-ade5-11e8-aab6-cb661c6ee576,"9,9,9,6,7,45,45",one number 9 large,2018-10-12 12:00:20,2018-10-12 13:10:20,,e661a320-ade3-11e8-8a40-c70d72c3af33,10,
1458a570-ade5-11e8-aab6-cb661c6ee576,22,salty,2018-10-13 13:00:20,,,294a8b20-ade4-11e8-8a40-c70d72c3af33,4,
1c3b1430-ade5-11e8-aab6-cb661c6ee576,31,,2018-10-13 13:05:20,,,294a8b20-ade4-11e8-8a40-c70d72c3af33,6,
,,,,,,,,
